Point	Potential(mV)	Current(microAmp)
221	650.536835193634	160.123920068145
222	645.540833473206	158.500202815048
223	640.544831752777	156.876485561952
224	635.470747947693	155.221539898776
225	630.474746227264	153.535365825519
226	625.40066242218	151.817963342182
227	620.482742786407	150.100575410761
228	615.408658981323	148.351959069259
229	610.490679740906	146.572099765763
230	605.494678020477	144.729812745936
231	600.498676300049	142.887511174195
232	595.50267457962	140.982767334208
233	590.506672859192	139.078008942306
234	585.510671138763	137.142036692239
235	580.436587333679	135.174836032093
236	575.440585613251	133.176406961866
237	570.522665977478	131.115535623394
238	565.52666425705	129.054664284922
239	560.452580451965	126.96256453637
240	555.456578731537	124.870464787818
241	550.460577011108	122.715908219106
242	545.542597770691	120.530130516272
243	540.390491485596	118.344352813438
244	535.472512245178	116.127346700523
245	530.47651052475	113.847898319364
246	525.480508804321	111.599671072327
247	520.484507083893	109.288987005129
248	515.56658744812	106.97831021389
249	510.492503643036	104.698854556773
250	505.418419837952	102.356949355453
251	500.422418117523	100.015051430091
252	495.504468679428	97.610689408612
253	490.430414676666	95.237563073169
254	485.434383153915	92.864436737727
255	480.516463518143	90.491303126328
256	475.520431995392	88.118176790886
257	470.524430274963	85.682593635283
258	465.450376272202	83.309467299841
259	460.532426834106	80.936333688442
260	455.458343029022	78.53197894292
261	450.38428902626	76.158852607478
262	445.466339588165	73.754497861955
263	440.470337867737	71.443813794758
264	435.396254062653	69.070687459316
265	430.478304624558	66.728782257997
266	425.404250621796	64.418105466757
267	420.486301183701	62.10742139956
268	415.490299463272	59.827969380422
269	410.416215658188	57.610966905486
270	405.420213937759	55.331514886348
271	400.424212217331	53.114512411412
272	395.506262779236	50.928734708577
273	390.432208776474	48.742957005743
274	385.436177253723	46.58840407501
275	380.440175533295	44.465079554357
276	375.444173812866	42.310526623623
277	370.448172092438	40.280876419274
278	365.530222654343	38.157548260642
279	360.456138849258	36.096673284192
280	355.46013712883	34.067023079842
281	350.464135408401	32.006148103392
282	345.468133687973	30.007722671144
283	340.472131967545	27.946847694693
284	335.476100444794	25.917197490344
285	330.558180809021	23.856320694904
286	325.406044721603	21.764219127363
287	320.488095283508	19.703344150912
288	315.49209356308	17.611242583371
289	310.496091842651	15.425464880536
290	305.500060319901	13.208463315095
291	300.426006317139	10.929009476968
292	295.43000459671	8.587105185143
293	290.433973073959	6.151524758025
294	285.516053438187	3.622268195613
295	280.441969633102	0.968110043686
296	275.445967912674	-1.748498789311
297	270.449966192245	-4.714911028714
298	265.453934669495	-7.774999176036
299	260.457932949066	-10.991214367095
300	255.383878946304	-14.457232282439
301	250.465929508209	-18.110602468369
302	245.46991288662	-21.95132583438
303	240.395843982697	-26.104302378371
304	235.477909445763	-30.413408239838
305	230.40384054184	-35.065990232397
306	225.485891103745	-39.968377677724
307	220.411822199821	-45.151791709941
308	215.415820479393	-50.647460739128
309	210.341736674309	-56.486609537387
310	205.423802137375	-62.606784922537
311	200.50585269928	-69.039211666677
312	195.509850978851	-75.783900683746
313	190.435782074928	-82.872065831907
314	185.361713171005	-90.210029156879
315	180.365696549416	-97.891475888901
316	175.447762012482	-105.885177617893
317	170.451745390892	-114.159905933775
318	165.455743670464	-122.746889246628
319	160.381674766541	-131.55244232621
320	155.463725328445	-140.639036544599
321	150.54577589035	-149.944200529717
322	145.471706986427	-159.561619511805
323	140.475705265999	-169.366394402459
324	135.47970354557	-179.327296791598
325	130.483686923981	-189.506768947467
326	125.409618020058	-199.873597011901
327	120.491676032543	-210.365324164741
328	115.41760712862	-220.9819649579
329	110.499657690525	-231.723504839465
330	105.425588786602	-242.6211576676
331	100.507646799088	-253.612524829805
332	95.35551071167	-264.635076746345
333	90.437568724155	-275.782542303205
334	85.441559553146	-286.961236270145
335	80.445550382137	-298.139930237085
336	75.527608394623	-309.412280330434
337	70.4535394907	-320.622202707455
338	65.457530319691	-331.894552800804
339	60.461517423391	-343.042018357664
340	55.387452244759	-354.283169144765
341	50.469506531954	-365.399406291544
342	45.473497360945	-376.453186618164
343	40.477491915226	-387.413310818374
344	35.481482744217	-398.248521378264
345	30.485477298498	-409.052503528073
346	25.41140653193	-419.700372731313
347	20.49346268177	-430.223328294232
348	15.419392846525	-440.558913396671
349	10.501448996365	-450.707186246291
350	5.427379161119	-460.699287941679
351	0.431371387094	-470.504077384248
352	-4.56463592127	-480.059039546177
353	-9.560643695295	-489.426660351455
354	-14.634712599218	-498.482026159763
355	-19.552659243345	-507.287564687431
356	-24.626728147268	-515.812134835869
